,N,Party,Province,Race,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
167,1425.0,p_sp,Denizli,1991,0.0,0.0,1.51801599212e-17,0.0,0.0
168,1668.0,p_bgmz,Diyarbakir,1991,0.0,0.0,6.81599604138e-08,0.0,0.0
169,1668.0,p_dsp,Diyarbakir,1991,4.01460323732e-193,0.0,0.126950806645,2.90586208117e-200,0.09
170,1668.0,p_dyp,Diyarbakir,1991,5.62085973307e-26,1.4464430829e-46,0.61188778514,5.33744997521e-28,0.21
171,1668.0,p_anap,Diyarbakir,1991,1.68197544875e-62,4.3673753352e-118,0.85846955998,6.37645846032e-66,0.76
172,1668.0,p_rp,Diyarbakir,1991,1.29136596674e-31,7.6551786273e-68,0.203830792418,6.80618025588e-34,0.35
173,1668.0,p_shp,Diyarbakir,1991,0.381652980462,0.0188958125564,0.432529022383,0.330674809673,0.51
174,1668.0,p_sp,Diyarbakir,1991,0.0,0.0,2.00631207692e-08,0.0,0.0
175,863.0,p_bgmz,Edirne,1991,0.0,0.0,,0.0,0.0
176,863.0,p_dsp,Edirne,1991,0.714952366601,0.0758849053573,0.591159317537,0.746510111327,0.43
177,863.0,p_dyp,Edirne,1991,0.120538107735,0.00212447637875,0.171866699302,0.154294598049,0.21
178,863.0,p_anap,Edirne,1991,0.669334593219,0.331446646545,0.654987759106,0.59857332619,0.88
179,863.0,p_rp,Edirne,1991,5.55346602372e-07,2.08105145164e-32,0.481485658439,1.05002332108e-07,0.18
180,863.0,p_shp,Edirne,1991,0.146054807189,0.000747456963155,0.180660878399,0.165670983072,0.28
181,863.0,p_sp,Edirne,1991,0.0,0.0,3.01026595298e-13,0.0,0.0
182,1092.0,p_bgmz,Elazig,1991,0.0,0.0,,0.0,0.0
183,1092.0,p_dsp,Elazig,1991,1.63768625413e-69,0.0,0.0214551933685,1.06729743841e-72,0.01
184,1092.0,p_dyp,Elazig,1991,0.0834975976078,0.000208622569832,0.3741695709,0.0502874717213,0.46
185,1092.0,p_anap,Elazig,1991,0.022965205197,6.18000212881e-06,0.00237354418036,0.0162081603559,0.03
186,1092.0,p_rp,Elazig,1991,0.491839946992,0.0114892800841,0.914138340244,0.347822942241,0.69
187,1092.0,p_shp,Elazig,1991,1.01613188568e-12,1.78451510115e-23,0.433659392856,4.79632925048e-14,0.37
188,1092.0,p_sp,Elazig,1991,0.0,0.0,1.42569324169e-07,0.0,0.0
189,859.0,p_bgmz,Erzincan,1991,0.0,0.0,,0.0,0.0
190,859.0,p_dsp,Erzincan,1991,2.26241091346e-113,0.0,0.188546443262,2.03477943224e-117,0.0
191,859.0,p_dyp,Erzincan,1991,1.64969179691e-57,1.67317822614e-150,0.0875600557253,3.50852282393e-60,0.0
192,859.0,p_anap,Erzincan,1991,1.28305751501e-09,2.0029176605e-22,0.320398858199,1.60627543264e-10,0.73
193,859.0,p_rp,Erzincan,1991,6.00505375622e-59,2.63271028251e-90,0.0138853025401,1.27984022367e-61,0.0
194,859.0,p_shp,Erzincan,1991,5.47660908016e-12,1.60496145373e-25,0.999355963637,3.93054927943e-13,1.0
195,859.0,p_sp,Erzincan,1991,0.0,0.0,0.00174757363836,0.0,0.04
196,1859.0,p_bgmz,Erzurum,1991,0.0,0.0,,0.0,0.0
197,1859.0,p_dsp,Erzurum,1991,8.68101803875e-115,0.0,0.149547357095,2.67580692845e-120,0.0
198,1859.0,p_dyp,Erzurum,1991,0.00821238241151,2.54911499457e-07,0.92632595676,0.00178856404742,0.97
199,1859.0,p_anap,Erzurum,1991,5.82265743122e-05,2.79698254157e-11,0.397273621321,6.83903422102e-06,0.54
200,1859.0,p_rp,Erzurum,1991,1.14241380347e-05,3.56945847658e-08,0.0219438901225,2.46369973548e-06,0.0
201,1859.0,p_shp,Erzurum,1991,6.56032293664e-56,1.17498108375e-203,0.27020969156,1.26766245738e-59,0.0
