,Kommun,KommunParty,Lan,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
257,81.0,,4.0,8.0,p_V,riksdagsval,2002,,,,,0.0
258,81.0,,4.0,8.0,p_other,riksdagsval,2002,,,,,0.0
259,82.0,,4.0,11.0,p_M,riksdagsval,2002,,,,,0.0
260,82.0,,4.0,11.0,p_C,riksdagsval,2002,,,,,0.0
261,82.0,,4.0,11.0,p_FP,riksdagsval,2002,,,,,0.0
262,82.0,,4.0,11.0,p_KD,riksdagsval,2002,,,,,0.0
263,82.0,,4.0,11.0,p_S,riksdagsval,2002,,,,,0.0
264,82.0,,4.0,11.0,p_V,riksdagsval,2002,,,,,0.0
265,82.0,,4.0,11.0,p_other,riksdagsval,2002,,,,,0.0
266,83.0,,4.0,25.0,p_M,riksdagsval,2002,,,,,0.0
267,83.0,,4.0,25.0,p_C,riksdagsval,2002,,,,,0.0
268,83.0,,4.0,25.0,p_FP,riksdagsval,2002,0.8201834300856349,0.689465214057,0.8599808719,0.834308260193,0.755
269,83.0,,4.0,25.0,p_KD,riksdagsval,2002,,,,,0.0
270,83.0,,4.0,25.0,p_S,riksdagsval,2002,,,,,0.0
271,83.0,,4.0,25.0,p_V,riksdagsval,2002,,,,,0.0
272,83.0,,4.0,25.0,p_other,riksdagsval,2002,0.8409477137194101,0.86952016304,0.868353692222,0.834308260193,0.76
273,84.0,,4.0,54.0,p_M,riksdagsval,2002,,,,,0.0
274,84.0,,4.0,54.0,p_C,riksdagsval,2002,0.31358590363953115,0.2444175675,0.285617089352,0.315716507607,0.54
275,84.0,,4.0,54.0,p_FP,riksdagsval,2002,0.9328523494441372,0.875074094467,0.94060906196,0.945934326286,0.625
276,84.0,,4.0,54.0,p_KD,riksdagsval,2002,0.9146961779364601,0.766628490789,0.912112529005,0.925420404268,0.86
277,84.0,,4.0,54.0,p_S,riksdagsval,2002,0.30439345776294535,0.304393457763,0.232935444096,0.288616391372,0.13
278,84.0,,4.0,54.0,p_V,riksdagsval,2002,,,,,0.0
279,84.0,,4.0,54.0,p_other,riksdagsval,2002,0.2505363748403417,0.159427019244,0.291419062922,0.263228772154,0.535
280,86.0,,4.0,20.0,p_M,riksdagsval,2002,,,,,0.0
281,86.0,,4.0,20.0,p_C,riksdagsval,2002,,,,,0.0
